species_code,species_common_name,trait,dietary_guild,habitat_guild,migratory_guild,continental_importance,climate_prediction
AGOL,American Goldfinch,PlantSeed,Granivore-insectivore,Forest Generalist,Short-distance migrants,NA,Potential colonisation
AGOS,American Goshawk,VertFishScav,Carnivore,Forest Generalist,Winter residents,NA,Stable
ALFL,Alder Flycatcher,Invertebrate,Aerial insectivore,Forest Generalist,Long-distance migrants,NA,Improving
AMBI,American Bittern,VertFishScav,Aquatic,Wetland,Short-distance migrant,NA,Improving
AMCO,American Coot,PlantSeed,Aquatic,Wetland,Short-distance migrants,NA,Improving
AMCR,American Crow,Omnivore,Omnivore,Habitat Generalist,Short-distance migrants,NA,Improving
AMKE,American Kestrel,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Stable
AMPI,American Pipit,Invertebrate,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,Common Bird in Steep Decline,Stable
AMRE,American Redstart,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
AMRO,American Robin,Omnivore,Omnivore,Habitat Generalist,Short-distance migrants,NA,Stable
AMWI,American Wigeon,PlantSeed,Aquatic,Wetland,Short-distance migrants,NA,Stable
ATTW,American Three-toed Woodpecker,Invertebrate,Bark forager,Late succession forest,Winter residents,NA,Stable
BAEA,Bald Eagle,VertFishScav,Carnivore,Habitat Generalist,Short-distance migrants,NA,Stable
BANS,Bank Swallow,NA,Aerial insectivore,Wetland,Long-distance migrants,Common Bird in Steep Decline,Improving
BAOR,Baltimore Oriole,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,NA
BARS,Barn Swallow,Invertebrate,Aerial insectivore,Grassland-shrubland-alpine,Long-distance migrants,NA,Improving
BBCU,Black-billed Cuckoo,Invertebrate,Omnivore,Habitat Generalist,Long-distance migrants,Common Bird in Steep Decline; previously Watch List,Potential extirpation
BBMA,Black-billed Magpie,Omnivore,Omnivore,Habitat Generalist,Winter residents,NA,Improving
BBWO,Black-backed Woodpecker,Invertebrate,Bark forager,Late succession forest,Winter residents,NA,Improving
BCCH,Black-capped Chickadee,Invertebrate,Insect gleaner,Habitat Generalist,Winter residents,NA,Improving
BCHU,Black-chinned Hummingbird,FruiNect,Frugivore-nectarivore,Habitat Generalist,Long-distance migrants,NA,NA
BEKI,Belted Kingfisher,VertFishScav,Aquatic,Wetland,Short-distance migrant,NA,Improving
BHCO,Brown-headed Cowbird,PlantSeed,Insect gleaner,Grassland-shrubland-alpine,Short-distance migrants,NA,Improving
BHGR,Black-headed Grosbeak,Invertebrate,Granivore-herbivore,Habitat Generalist,Long-distance migrants,NA,NA
BHVI,Blue-headed Vireo,Invertebrate,Insect gleaner,Late succession forest,Short-distance migrants,NA,Potential extirpation
BLJA,Blue Jay,Omnivore,Omnivore,Forest Generalist,Winter residents,NA,NA
BLPW,Blackpoll Warbler,Invertebrate,Insect gleaner,Late succession forest,Long-distance migrants,Common Bird in Steep Decline,Stable
BOCH,Boreal Chickadee,Invertebrate,Insect gleaner,Forest Generalist,Winter resident,NA,Stable
BRBL,Brewer's Blackbird,Invertebrate,Insect gleaner,Habitat Generalist,Short-distance migrants,Common Bird in Steep Decline,Improving
BRCR,Brown Creeper,NA,Bark forager,Late succession forest,Winter residents,NA,Stable
BRSP,Brewer's Sparrow,Omnivore,Granivore-insectivore,Grassland-shrubland-alpine,Long-distance migrants,Common Bird in Steep Decline,Potential extirpation
BUFF,Bufflehead,Invertebrate,Aquatic,Wetland,Short-distance migrants,NA,Potential extirpation
BWTE,Blue-winged Teal,PlantSeed,Aquatic,Wetland,Long-distance migrants,NA,Stable
CAFI,Cassin's Finch,PlantSeed,Granivore-herbivore,Forest Generalist,Short-distance migrants,Previously Watch List,Potential extirpation
CAGU,California Gull,Omnivore,Aquatic,Wetland,Short-distance migrants,Previously Watch List,Stable
CAHU,Calliope Hummingbird,FruiNect,Frugivore-nectarivore,Habitat Generalist,Long-distance migrants,Watch List Yellow,Improving
CAJA,Canada Jay,Omnivore,Omnivore,Forest Generalist,Winter residents,NA,Stable
CANG,Canada Goose,PlantSeed,Aquatic,Wetland,Short-distance migrants,NA,Stable
CAVI,Cassin's Vireo,Invertebrate,Insect gleaner,Forest Generalist,Long-distance migrants,NA,Improving
